countryCode,plantName,eprtrFacilityID
"CY","Dhekelia Power Station - Plant 4","7447"
"CY","Dhekelia Power Station - Plant 5","7447"
"CY","Dhekelia Power Station - Plant 6","7447"
"CY","Moni Power Station - Plant 1","5262"
"CY","Moni Power Station - Plant 2","5262"
"CY","Moni Power Station - Plant 3","5262"
"CY","Moni Power Station - Plant 4","5262"
"CY","Moni Power Station - Plant 5","5262"
"CY","Moni Power Station - Plant 6","5262"
"CY","Vasilikos Power Station - Plant 1","8584"
"CY","Vasilikos Power Station - Plant 2","8584"
"CY","Vasilikos Power Station - Plant 3","8584"
"CY","Vasilikos Power Station - Plant 4","8584"
"CY","Vasilikos Power Station - Plant 5","8584"
"CZ","ACTHERM, spol. s r.o. - o.z. Chomutov, teplarna","12834"
"CZ","Alpiq Generation (CZ) s.r.o. - Elektrarna Kladno","11284"
"CZ","Alpiq Generation (CZ) s.r.o. - Teplarna Zlin","10989"
"CZ","ArcelorMittal Energy Ostrava s.r.o. - Teplarna - source A","157656"
"CZ","ArcelorMittal Energy Ostrava s.r.o. - Teplarna - source B","157656"
"CZ","ArcelorMittal Frydek-Mistek a.s. - Teplarna","10345"
"CZ","Biocel Paskov a.s.","11343"
"CZ","C-Energy Bohemia s.r.o.","15925"
"CZ","CESKOLIPSKA TEPLARENSKA a.s. - Kotelna LOOS ",
"CZ","CEZ, a.s. - Elektrarna Ledvice - source A","12869"
"CZ","CEZ, a.s. - Elektrarna Ledvice - source B","12869"
"CZ","CEZ, a.s. - Elektrarna Melnik II ","11261"
"CZ","CEZ, a.s. - Elektrarna Melnik III","11261"
"CZ","CEZ, a.s. - Elektrarna Prunerov 1","12825"
"CZ","CEZ, a.s. - Elektrarna Prunerov 2","12825"
"CZ","CEZ, a.s. - Elektrarny Tusimice","8582"
"CZ","CEZ, a.s. - Jaderna elektrarna Temelin","16070"
"CZ","CEZ, a.s. - Teplarna Vitkovice","11283"
"CZ","CEZ, a.s. - Teplarny Hodonin, Porici, Tisova  – lokalita Hodonin","12833"
"CZ","CEZ, a.s. - Teplarny Hodonin, Porici, Tisova – lokalita Porici - provoz Dvur Kralove","10605"
"CZ","CEZ, a.s. - Teplarny Hodonin, Porici, Tisova – lokalita Porici - provoz Porici- source A","11073"
"CZ","CEZ, a.s. - Teplarny Hodonin, Porici, Tisova – lokalita Porici - provoz Porici- source B","11073"
"CZ","CEZ, a.s. - Teplarny Hodonin, Porici, Tisova – lokalita Tisova - source A","12846"
"CZ","CEZ, a.s. - Teplarny Hodonin, Porici, Tisova – lokalita Tisova - source B","12846"
"CZ","Dalkia Ceska republika, a.s. - Elektrarna Trebovice I","11398"
"CZ","Dalkia Ceska republika, a.s. - Elektrarna Trebovice II","11398"
"CZ","Dalkia Ceska republika, a.s. - Elektrarna Trebovice III","11398"
"CZ","Dalkia Ceska republika, a.s. - Spickova vytopna Olomouc","11399"
"CZ","Dalkia Ceska republika, a.s. - Teplarna Ceskoslovenske armady","11403"
"CZ","Dalkia Ceska republika, a.s. - Teplarna Frydek-Mistek","11404"
"CZ","Dalkia Ceska republika, a.s. - Teplarna Karvina","11402"
"CZ","Dalkia Ceska republika, a.s. - Teplarna Krnov","11401"
"CZ","Dalkia Ceska republika, a.s. - Teplarna Olomouc - source A","11399"
"CZ","Dalkia Ceska republika, a.s. - Teplarna Olomouc - source B","11399"
"CZ","Dalkia Ceska republika, a.s. - Teplarna Prerov - source A","11400"
"CZ","Dalkia Ceska republika, a.s. - Teplarna Prerov - source B","11400"
"CZ","Dalkia Ceska republika, a.s. - Teplarna Privoz","11397"
"CZ","Dalkia Industry CZ, a.s. - Teplarna Dolu CSM","66448"
"CZ","Dalkia Kolin, a.s. - Elektrarna Kolin","12838"
"CZ","Dalkia Marianske Lazne, s.r.o.",
"CZ","DEZA, a.s. - Energetika","14158"
"CZ","Elektrarna Chvaletice a.s.","10300"
"CZ","Elektrarna Detmarovice, a.s.","10343"
"CZ","Elektrarna Pocerady, a.s.","13898"
"CZ","Elektrarny Opatovice, a.s. - Elektrarna Opatovice                                       ","11043"
"CZ","Elektrarny Opatovice, a.s. - ZVU                                       ",
"CZ","ENERGETIKA TRINEC a.s. - E 2, Provozy teplarny a tepelna energetika","14305"
"CZ","ENERGETIKA TRINEC a.s. - E 3, Provozy teplarny a tepelna energetika","14305"
"CZ","ENERGOAQUA, a.s. - Roznov pod Radhostem","11385"
"CZ","Energotrans, a.s. - Elektrarna Melnik I","8129"
"CZ","ENERGY Usti nad Labem, a.s.","10243"
"CZ","Jablonecka teplarenska a realitni, a.s. - Vytopna Brandl","9884"
"CZ","Jablonecka teplarenska a realitni, a.s. - Vytopna Rynovice","102109"
"CZ","JIP - Papirny Vetrni, a.s.","11387"
"CZ","KA Contracting CR, s.r.o. - Teplarna Nachod  ","14159"
"CZ","KOMTERM Morava, s.r.o. - Teplarna Koprivnice","12824"
"CZ","KRPA PAPER a.s.","16411"
"CZ","Lovochemie, a.s.","10954"
"CZ","Momentive Specialty Chemicals, a.s.","101926"
"CZ","Mondi Steti a.s. ","9281"
"CZ","Moravskoslezske cukrovary, a.s. - Odstepny zavod Opava",
"CZ","Moravskoslezske cukrovary, a.s. - Zavod Hrusovany nad Jevisovkou","6654"
"CZ","OMGD, s.r.o. - Provozovna Kaznejov",
"CZ","Ostrovska teplarenska, a.s. - Teplarna Ostrov","16141"
"CZ","PARAMO, a.s. - HS Pardubice","10344"
"CZ","Plzenska energetika a.s. - source A","9646"
"CZ","Plzenska energetika a.s. - source B","9646"
"CZ","Plzenska teplarenska, a.s. - Centralni zdroj tepla - source A","14160"
"CZ","Plzenska teplarenska, a.s. - Centralni zdroj tepla - source B","14160"
"CZ","Prazska teplarenska a.s. - Teplarna Holesovice","10469"
"CZ","Prazska teplarenska a.s. - Teplarna Malesice I","10469"
"CZ","Prazska teplarenska a.s. - Teplarna Malesice II","10469"
"CZ","Prazska teplarenska a.s. - Teplarna Malesice III","10469"
"CZ","Prazska teplarenska a.s. - Teplarna Michle","10469"
"CZ","Prazska teplarenska a.s. - Teplarna Veleslavin","10469"
"CZ","Prazska teplarenska a.s. - Vytopna Juliska","10469"
"CZ","Prazska teplarenska a.s. - Vytopna Krc","10469"
"CZ","Prazska teplarenska a.s. - Vytopna Treboradice","10469"
"CZ","Pribramska teplarenska, a.s. - Vytopna Zdabor","102062"
"CZ","SKO-ENERGO s.r.o. - Teplarna","16232"
"CZ","Sokolovska uhelna, pravni nastupce, a.s. - Zpracovatelska cast Vresova - source A","12857"
"CZ","Sokolovska uhelna, pravni nastupce, a.s. - Zpracovatelska cast Vresova - source B","12857"
"CZ","SPOLANA a.s. ","10556"
"CZ","Synthesia, a.s. - Odbor Energetika - Teplarna ZL 1 ","12860"
"CZ","Synthesia, a.s. - Odbor Energetika - Teplarna ZL 2","12860"
"CZ","TAMERO INVEST s.r.o. - Teplarna Kralupy","174663"
"CZ","Teplarna Ceske Budejovice, a.s. - Novohradska ulice","8530"
"CZ","Teplarna Ceske Budejovice, a.s. - Vytopna Vrato","8530"
"CZ","Teplarna Liberec, a.s.","10577"
"CZ","Teplarna Otrokovice a.s.","12855"
"CZ","Teplarna Pisek, a.s.","11342"
"CZ","Teplarna Strakonice, a.s.","14301"
"CZ","Teplarna Tabor, a.s.","16233"
"CZ","Teplarna Trmice, a.s. ","12973"
"CZ","Teplarna Trmice, a.s. - PPC Trmice","12973"
"CZ","Teplarna Varnsdorf a.s.","66310"
"CZ","Teplarny Brno a.s. - Provoz Brno-sever","10206"
"CZ","Teplarny Brno a.s. - Provoz Cerveny Mlyn","10208"
"CZ","Teplarny Brno a.s. - Provoz Spitalka - source A","10207"
"CZ","Teplarny Brno a.s. - Provoz Spitalka - source B","10207"
"CZ","Tereos TDD, a.s. - Cukrovar Ceske Mezirici","9598"
"CZ","Tereos TTD, a.s. - Cukrovar Dobrovice","66389"
"CZ","UNIPETROL RPA, s.r.o. - Teplarna T 700","6838"
"CZ","UNIPETROL RPA, s.r.o. - Zavod 01 Petrochemie - etylenova jednotka","6838"
"CZ","United Energy, a.s. - Teplarna Komorany","11406"
"CZ","Vyroba a prodej tepla Pribram a.s. - CZT","11175"
"CZ","Zasobovani teplem Vsetin a.s. - Teplarna Jiraskova","157754"
"CZ","ZDAS, a.s. - Kotelna a COV","8344"
"DE","BHKW Augsburg (A16)","74318"
"DE","BHKW Holungen (A265)","47045"
"DE","BHKW Köpenick (A35)",
"DE","BHKW Nürnberg (A410)",
"DE","BHKW Wittenberg (A598)",
"DE","Dampfkesselanlage Audi (A399)","2457"
"DE","Dampfwerk Zweckel (A210)","44291"
"DE","Energiezentrale Papier-Scheufelen (A330)","45306"
"DE","Energiezentrale Pharma Wedding (A49)",
"DE","Energiezentrale Rastatt (A450)",
"DE","Erdgasspeicher Epe (A220)","44490"
"DE","Erdgasspeicher Etzel (A670)",
"DE","Erdgasverdichter Achim (A4)",
"DE","Erdgasverdichter Dötlingen (A128)","70346"
"DE","Erdgasverdichter Eiterfeld (A156)",
"DE","Erdgasverdichter Emmerich (A166)",
"DE","Erdgasverdichter Emsbüren (A167)","109256"
"DE","Erdgasverdichter Emstek (A583)",
"DE","Erdgasverdichter Epe (A221)",
"DE","Erdgasverdichter Friedeburg I (A196)",
"DE","Erdgasverdichter Gernsheim (A600)","44845"
"DE","Erdgasverdichter Gstadt (A226)",
"DE","Erdgasverdichter Hügelheim (A385)","45481"
"DE","Erdgasverdichter Ichtershausen (A582)",
"DE","Erdgasverdichter Kempen (A290)",
"DE","Erdgasverdichter Kirchlinteln (A296)",
"DE","Erdgasverdichter Köln (A298)",
"DE","Erdgasverdichter Krummhörn (A321)","70342"
"DE","Erdgasverdichter Krummhörn Rysum (A322)","73931"
"DE","Erdgasverdichter Lebus (A325)","46325"
"DE","Erdgasverdichter Lubmin (A617)","189412"
"DE","Erdgasverdichter Mittelbrunn I (A381)",
"DE","Erdgasverdichter Mittelbrunn II (A382)",
"DE","Erdgasverdichter Olbernhau (A425)","158114"
"DE","Erdgasverdichter Raguhn (A448)",
"DE","Erdgasverdichter Rehden (A455)","70344"
"DE","Erdgasverdichter Rimpar I (A460)",
"DE","Erdgasverdichter Rimpar II (A461)",
"DE","Erdgasverdichter Röthenbach (A465)",
"DE","Erdgasverdichter Rückersdorf (A466)","47065"
"DE","Erdgasverdichter Salzuflen (A580)",
"DE","Erdgasverdichter Sayda (A1)","74566"
"DE","Erdgasverdichter Schechen (A475)","46175"
"DE","Erdgasverdichter Scheidt (A476)",
"DE","Erdgasverdichter Schwarzach (A458)","74213"
"DE","Erdgasverdichter Stolberg (A499)","44050"
"DE","Erdgasverdichter Teutschenthal (A508)",
"DE","Erdgasverdichter Velen (A518)",
"DE","Erdgasverdichter Waidhaus I (A528)","45878"
"DE","Erdgasverdichter Waidhaus II (A529)","45878"
"DE","Erdgasverdichter Wardenburg (A533)",
"DE","Erdgasverdichter Weiden (A538)","74279"
"DE","Erdgasverdichter Werne (A546)","44679"
"DE","FA Dampf Steyerberg (A497)",
"DE","FA Pipeline Dornum (A401)","73929"
"DE","FA Pipeline Lubmin (A618)","189412"
"DE","FHW Lohbrügge Nord (A242)",
"DE","FHW Märkisches Viertel (A44)",
"DE","FHW Neukölln (A41)",
"DE","FHW Schwertstraße (A315)",
"DE","FWKW Marl (A374)",
"DE","GT Herdecke (A581)",
"DE","GT Kreuznach (A577)",
"DE","GT Nortrup (A601)",
"DE","GT Südraum Saarbrücken (A589)",
"DE","GT Waltenhofen (A532)",
"DE","GTKW Ahrensfelde (A5)","46304"
"DE","GTKW Bielefeld (A54)",
"DE","GTKW Brunsbüttel (A100)",
"DE","GTKW Elsfleth (A158)",
"DE","GTKW Kirchlengern (A295)",
"DE","GTKW Trebbin (A509)",
"DE","GTKW Wilhelmshaven (A550)",
"DE","GuD Aschaffenburg (A754)",
"DE","GuD Bielefeld (A55)",
"DE","GuD Braunschweig Mitte (A612)",
"DE","GuD Chemie-Stade (A613)",
"DE","GuD Gera (A205)",
"DE","GuD Halle Dieselstraße (A578)",
"DE","GuD Hamm (A592)",
"DE","GuD Hannover Linden (A248)","43426"
"DE","GuD Hürth (A590)",
"DE","GuD Jena (A275)",
"DE","GuD Kirchmöser (A78)",
"DE","GuD Köln Niehl (A305)","44081"
"DE","GuD Papier-Plattling (A604)",
"DE","GuD Plattling (A599)",
"DE","GuD Saarbrücken (A588)",
"DE","GuD Wolfen (A554)",
"DE","GuD Wörth (A579)",
"DE","HKW Adlershof (A48)",
"DE","HKW Augsburg (A18)","46064"
"DE","HKW Bad Salzungen (A19)","47166"
"DE","HKW Barmen (A564)",
"DE","HKW Bautzen (A25)","74664"
"DE","HKW Bielefeld Stadtwerke (A57)",
"DE","HKW Bochum (A64)",
"DE","HKW Bonn Nord (A71)",
